tb21_id,top1_source,top1_task_id,top1_score,top30_task_ids
adaptive-rejection-sampler,TMax-15K,task_007610_f695cdea,0.1431,task_007610_f695cdea|jax-ml__jax-28022|task_003703_9a8452dc|task_003917_60ceae0a|task_005309_e36db87c|task_000914_86d0432f|task_008604_898e6887|rts_task_5b4a06ae458292118e4ed31c|getmoto__moto-7111|task_004725_e339327b|task_000371_d0ff3ecb|task_009442_1bf1775c|pennylaneai__pennylane-5395|pyro-ppl__numpyro-1914|hypothesisworks__hypothesis-3766|task_005423_55489854|rts_task_e0e4fc937830dd3dd1b2256b|rsalmei__alive-progress.35853799.lm_rewrite__1k0co6o0|task_003551_c1a82270|tw_121234|task_003038_2570926b|task_004722_8b240e03|task_003039_9494e678|task_002091_9c18d93b|pytask-dev__pytask-493|rts_task_0dc78c6e0c8e64bf995ac40e|tw_256723|rts_task_7845f13cddc0ed4d68b0c2b8|task_006807_7a6fda17|task_008104_13368dda
bn-fit-modify,SWE-Rebench-Tasks-Clean,qiskit__qiskit-terra-8799,0.1306,qiskit__qiskit-terra-8799|task_006353_dc32b760|task_007722_eb460964|task_001156_be184bb9|task_008790_93d06ca1|graphql-python__graphene.82903263.pr_1504|tox-dev__pipdeptree.c31b6418.func_pm_op_swap__658r9qmj|facebookresearch__fvcore.a491d5b9.lm_rewrite__lo7njclv|task_001423_d46207e6|task_001342_9316c505|task_000247_a73d544f|task_002598_832ab51d|task_004642_36a8d8c9|task_007424_d624699e|task_004130_5ed2b9c9|tox-dev__pipdeptree.c31b6418.func_pm_ctrl_shuffle__q14vbxhf|tox-dev__pipdeptree.c31b6418.func_pm_op_swap__hpq8oztj|task_000812_946be0a8|task_007376_3bbb8bf2|task_007682_467c5ef5|task_004248_d4dcf605|task_003515_3f32213f|task_009100_550a2beb|task_003190_6780f61e|task_005048_e865b76e|task_008076_5919d992|task_004503_73bd22c3|task_000325_376957fb|task_003062_898dfbba|qiskit__qiskit-10825
break-filter-js-from-html,TMax-15K,task_006266_c8cac288,0.2069,task_006266_c8cac288|task_001754_53444aa0|tw_104903|task_002713_156bfe23|task_007586_8ce4591e|task_000699_8860634f|tw_114823|task_007913_8652baa9|tw_112619|tw_12704|task_005128_fceaaea5|rts_task_e7e631c9e0efad542db7e585|tw_495885|rts_task_2e8627d637927aba55061293|rts_task_fdf935e0fce21b18fca95b51|task_008039_3a0d9876|rts_task_3496f3d0a5f8145225b3e226|task_008239_106cae29|task_001608_db062688|rts_task_75596ffa4fb72f34db74eb76|rts_task_3b1df31bbd3903061db85afd|rts_task_f422212193a90c0298e6c36a|rts_task_17166f5041ea1bc6974cfbe3|rts_task_dff9343bfda08e8b059c4f5b|rts_task_31e53715ca7b4b9075254d05|tw_538641|task_001866_0583e8c2|task_009058_ab71a7e5|rts_task_54ddad7b939ab16555bd9eba|task_000701_e6a7864c
build-cython-ext,TMax-15K,task_002510_12753f45,0.1123,task_002510_12753f45|pvlib__pvlib-python-509|pydicom__pydicom.7d361b3d.lm_rewrite__vtzbgnft|pyutils__line_profiler.a646bf0f.pr_209|tw_260060|task_008783_9d7a2fb1|rasbt__mlxtend-990|stac-utils__stac-fastapi-729|pyvrp__pyvrp-682|theacodes__nox-363|corteva__rioxarray-559|pypa__twine-1066|onnx__sklearn-onnx-1169|tw_11736|tw_677186|pylint-dev__astroid.b114f6b5.pr_1978|jsonpickle__jsonpickle-434|seperman__deepdiff.ed252022.pr_390|pyca__pyopenssl.04766a49.combine_file__ia85jsve|task_008821_ad6debce|pytask-dev__pytask-626|tw_179356|tw_15649|quantecon__quantecon.py-769|tqdm__tqdm-617|task_002904_ab597743|tw_275617|keras-team__keras-19937|pylint-dev__astroid.b114f6b5.pr_2438|pycqa__pyflakes-606
build-pmars,TerminalWorld-Seeds-Clean,tw_214369,0.1270,tw_214369|tw_528959|rts_task_35c168ad04f17b660a8d754f|tw_2077|rts_task_fdaf8d936189e472fd589b46|rts_task_4071bf38c5b9047c9468899e|task_008271_dcf2197d|rts_task_998b13cbfecff0408a59658c|rts_task_c891e97886a998d75f671719|rts_task_020ad1689cad3626497b56fe|tw_147241|rts_task_ef4abad6f9b4c0e962d4ad69|task_001244_2c513446|rts_task_8dbaca72784588c17761f4d3|rts_task_b00bed1b9e5e577383343bbf|task_004733_10341784|rts_task_0c635996637d44910b0a4755|tw_214711|rts_task_8601a465511c89d1260a0cea|rts_task_bc2b9eb9fb5126960d625900|rts_task_cae364b4c8f2e612de3a805e|rts_task_9998d9031df38d0fa4e56373|rts_task_40d5eee58ba655e32b625fef|rts_task_e5e698123093d16163aa3c37|rts_task_ee9d2f5b28222e2eb548eaa1|rts_task_bbcd325325087243a225a046|tw_561073|rts_task_84ef2fdf5386e65c6425c8f8|rts_task_c655fa04295e2034998ae4d2|rts_task_880f19863c4b2328adfa9c6f
build-pov-ray,TerminalWorld-Seeds-Clean,tw_8593,0.1590,tw_8593|tw_533008|tw_672607|task_003514_5b4b3ea0|task_001598_69a67b58|rts_task_0a6d1ddf1245375a08107edf|rts_task_428182b81c791dfa573cf205|tw_112262|task_002479_88217df0|tw_116479|task_001934_e62b9189|rts_task_afd60c089eb038e4ad5ef336|rts_task_bed00b0f3821a888b25b7bf7|task_005441_f7cd71b3|task_004518_dcfc0874|task_000516_77c0e19f|tw_504009|task_003050_ae0878f3|task_002702_dd809219|tw_133693|rts_task_84ef2fdf5386e65c6425c8f8|task_004948_ac3ba9d0|tw_257385|tw_355252|task_000152_b0606a77|tw_135422|Instagram__MonkeyType.70c3acf6.pr_175|rts_task_455e882cba32e728b89f1857|tw_351328|tw_10778
caffe-cifar-10,TMax-15K,task_009174_a35198eb,0.2166,task_009174_a35198eb|task_000964_68c6830d|task_005150_ab8ca139|task_007479_131c3a24|task_007192_8fa34dd5|task_006884_ed3c9dff|task_003904_14adfb44|task_009707_7b1f9ef1|task_004705_e79f1728|task_002128_4386b7ed|task_008831_f3337376|task_004213_ebf923a4|task_000621_d087976d|task_004410_3fba3429|task_007085_c91e9b65|task_002272_5304eb56|task_003876_572d0532|task_004144_55a3f1b9|task_007496_4630e0a9|task_001999_b5c51915|task_000989_67c9055d|task_002751_998e6a5a|task_001852_282c7e94|task_001776_6e8891c7|task_007702_7e7a14c3|task_007198_b33cba9a|task_002531_34b39b70|task_002340_fcb0ffea|task_002619_4df53207|task_004193_40254a02
cancel-async-tasks,Recursive-Task-Synthesis,rts_task_6ed7331ef1f7beb744a9c347,0.1060,rts_task_6ed7331ef1f7beb744a9c347|tw_346538|pytask-dev__pytask-493|pytask-dev__pytask-626|encode__starlette.db5063c2.pr_2688|rts_task_2f812c7fa0987f4a5774e606|martinblech__xmltodict.0952f382.lm_rewrite__cijnr52s|Cog-Creators__Red-DiscordBot.33e0eac7.pr_6107|tw_7537|lepture__mistune.bf54ef67.combine_module__jxn5nwrp|scrapy__scrapy.35212ec5.pr_5760|pallets__click.fde47b4b.pr_2604|rts_task_e861280b383d1ae533e43652|python-trio__trio.cfbbe2c1.pr_3051|python-trio__trio.cfbbe2c1.pr_3112|tw_39289|pyupio__safety.7654596b.func_pm_ctrl_shuffle__wugiso59|pallets__jinja.ada0a9a6.lm_rewrite__5pvjurt9|task_006796_dbce8910|tw_668460|rts_task_a88debb07c3cb92beae7c711|tw_214711|python-trio__trio.cfbbe2c1.lm_rewrite__ojn25xiy|rts_task_4d1e74ba9b461b69e7279cf7|tw_346504|iterative__dvc.1d6ea681.lm_rewrite__6hhmyoma|rts_task_d0d85b0aa334978c5f38571f|rts_task_9d403a7fe3d6126550352026|tw_112619|rts_task_3b58ff334b45db4cd020f680
chess-best-move,SWE-Rebench-Tasks-Clean,textualize__rich-3718,0.1841,textualize__rich-3718|rts_task_2629efb30267270e1cd69b57|tw_372371|task_001381_2b093f62|task_001955_4f2407d6|task_009941_8434a2f9|task_000039_88f4e97a|python-markdown__markdown-1359|task_001372_fcd423db|task_002509_c83a390f|corteva__rioxarray-841|task_005865_65190c37|rts_task_824a83a002f9354e611c1525|hypothesisworks__hypothesis-4279|adrienverge__yamllint.8513d9b9.combine_file__bxeftelo|task_008737_fe644c56|task_000869_13dd8dab|agronholm__exceptiongroup.0b4f4937.func_basic__qnbdkttr|tw_498533|rts_task_76476d5053a57cfe2700b2f4|borntyping__python-colorlog.dfa10f59.combine_file__hofui8tk|spikeinterface__spikeinterface-3047|benchopt__benchopt-644|rts_task_2d8869b0141f303d23e65a27|rts_task_a5fe1de2453bebc05ce8ec1a|tw_229527|pandas-dev__pandas-60293|task_003685_7502ce0e|rts_task_67a9a1248a878753170ba17e|prettytable__prettytable.ca90b055.pr_312
circuit-fibsqrt,TerminalWorld-Seeds-Clean,tw_285548,0.1529,tw_285548|rts_task_b5d47f91364d935bba23cc62|rts_task_6241a1f63be095dd8e31ede1|tw_621404|rts_task_d6a1a879b19f2c4659ae2181|task_005942_dfc48f98|tw_732042|rts_task_303f2e5fdf7b562f7afedb68|rts_task_57c71712b40e868eecd74f97|task_002045_8051d676|tw_713358|tw_166689|tw_713475|task_009199_18a00ff1|rts_task_b0f12251b561b2dda36be32d|tw_340743|rts_task_fe98237aa5e9b343740fdce1|rts_task_141d58b8f1c1ea542d548b81|rts_task_7a299ef7f7c936858f8ce37c|rts_task_8f7a865a497e8ef3c75eb548|task_001792_f065fa36|tw_229602|tw_25727|rts_task_2e007e980a8296ec11cc8a27|rts_task_774e5ecb9df5e5cbd3dbe4fe|rts_task_c179419eea4c71ec66b4ecd7|rts_task_2af7b168399aabb5a7c9e4f0|rts_task_b87fd22e2bbcd91de76818f1|rts_task_280524342ab255d6ff16abe8|rts_task_9df014cca80801ad5a025cfe
