bench,bench_id,tw_id,win13_hits,jaccard5
tb2,adaptive-rejection-sampler,tw_732042,0,0.00322
tb2,bn-fit-modify,tw_12315,0,0.00313
tb2,bn-fit-modify,tw_124734,0,0.00361
tb2,bn-fit-modify,tw_125882,0,0.00315
tb2,bn-fit-modify,tw_296822,0,0.00308
tb2,bn-fit-modify,tw_647708,0,0.00494
tb2,bn-fit-modify,tw_718060,0,0.00464
tb2,break-filter-js-from-html,tw_220267,0,0.01042
tb2,break-filter-js-from-html,tw_273601,0,0.00415
tb2,break-filter-js-from-html,tw_450694,0,0.01235
tb2,break-filter-js-from-html,tw_563797,0,0.00905
tb2,break-filter-js-from-html,tw_669368,0,0.00588
tb2,break-filter-js-from-html,tw_686601,0,0.01183
tb2,break-filter-js-from-html,tw_712739,0,0.00585
tb2,cancel-async-tasks,tw_123305,0,0.00552
tb2,circuit-fibsqrt,tw_510751,0,0.00362
tb2,cobol-modernization,tw_12704,0,0.00364
tb2,cobol-modernization,tw_5263,0,0.00318
tb2,code-from-image,tw_127866,0,0.00935
tb2,code-from-image,tw_152765,0,0.00769
tb2,code-from-image,tw_17530,0,0.00909
tb2,code-from-image,tw_17891,0,0.00847
tb2,code-from-image,tw_197232,0,0.01075
tb2,code-from-image,tw_264012,0,0.00645
tb2,code-from-image,tw_284665,0,0.00629
tb2,code-from-image,tw_306768,0,0.00855
tb2,code-from-image,tw_310042,0,0.00847
tb2,code-from-image,tw_3699,0,0.00800
tb2,code-from-image,tw_452881,0,0.00518
tb2,code-from-image,tw_453949,0,0.00568
tb2,code-from-image,tw_462039,0,0.00625
tb2,code-from-image,tw_475909,0,0.00493
tb2,code-from-image,tw_582696,0,0.00654
tb2,code-from-image,tw_603225,0,0.00855
tb2,code-from-image,tw_605047,0,0.00787
tb2,code-from-image,tw_6336,0,0.01031
tb2,code-from-image,tw_675812,0,0.00909
tb2,code-from-image,tw_7111,0,0.00617
tb2,code-from-image,tw_7537,0,0.01053
tb2,code-from-image,tw_79006,0,0.00840
tb2,count-dataset-tokens,tw_609295,0,0.00769
tb2,crack-7z-hash,tw_425728,0,0.00503
tb2,extract-elf,tw_114966,0,0.00518
tb2,extract-elf,tw_276310,0,0.00485
tb2,extract-elf,tw_288382,0,0.00420
tb2,extract-elf,tw_306630,0,0.00490
tb2,extract-elf,tw_331228,0,0.00439
tb2,extract-elf,tw_332013,0,0.00426
