task_id,run,v12_tier,v13_tier,blocking,notes,pin_candidates,pin_review,v12_lints,empty_run,solve_record,expectation_source,n_assertions
task_000151_eed227cf,run50_virgin,REPAIR,SEED,,core_clause_unenforced,,,,ok,never_attempted,test_only,11
task_000170_451ae330,run50_virgin,REPAIR,SEED,,core_clause_unenforced,,,,ok,never_attempted,test_only,8
task_000362_49123067,run50_virgin,REPAIR,FLAGGED,oracle_reachable | expectation_revealed,,,,L15 | L3,ok,never_attempted,rollout_material,5
task_000418_8342ff6e,run50_virgin,REPAIR,FLAGGED,oracle_reachable | expectation_revealed,,,,L3,ok,never_attempted,rollout_material,5
task_000609_c095fc34,run50_virgin,REVIEW,SEED,,,,,,ok,never_attempted,hardcoded_literal,4
task_000629_640a6cba,run50_virgin,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,8
task_000629_77078536,run50_virgin,REPAIR,FLAGGED,oracle_reachable | expectation_revealed | value_derivable,,,,L3,ok,never_attempted,rollout_material,3
task_000919_10837ef0,run50_virgin,REPAIR,FLAGGED,overspecific_check,,,,,ok,never_attempted,hardcoded_literal,7
task_001262_1ff6b6f1,run50_virgin,REPAIR,SEED,,expectation_movable,/app/surveillance.mp4,,,ok,never_attempted,rollout_material,10
task_001357_1454ebc9,run50_virgin,REPAIR,FLAGGED,oracle_reachable | expectation_revealed,core_clause_unenforced,,,L3,ok,never_attempted,rollout_material,4
task_001555_6c5b46dd,run50_virgin,PASS,SEED,,,,,,ok,never_attempted,hardcoded_literal,7
task_001582_8805c46a,run50_virgin,REPAIR,SEED,,expectation_movable,/home/user/sensor_A.log | /home/user/sensor_B.csv,,,ok,never_attempted,rollout_material,4
task_001692_7fdf7642,run50_virgin,REPAIR,SEED,,core_clause_unenforced,,,L13,ok,never_attempted,hardcoded_literal,5
task_001749_3b8c6910,run50_virgin,REPAIR,FLAGGED,oracle_reachable | expectation_revealed,,,,L3,ok,never_attempted,rollout_material,4
task_001758_c784b11a,run50_virgin,REPAIR,SEED,,core_clause_unenforced,,,L13,ok,never_attempted,hardcoded_literal,6
