tb21_id,rank,task_id,source,skill,domain,task_form,overall,reason,preview
adaptive-rejection-sampler,1,scientific-computing_20260421_155939_001,CalibForge,5,5,5,5,Implement a sampler that takes an arbitrary unnormalized target log-density and emits correct samples - the identical interface and the identical log-density machinery.,Implement a Hamiltonian Monte Carlo (HMC) sampler in Python that can generate samples from a specified target probability distribution. Your implementation should: 1. Accept a target log-probability function (potentially unnormalized) and p
adaptive-rejection-sampler,2,task_009491_a219a910,TMax-15K,5,4,4,4,"Write Monte Carlo rejection sampling from scratch, then prove statistical correctness and convergence - ARS's accept/reject loop plus its validation requirement.","You are a machine learning engineer preparing synthetic training data for a 3D generative model. You need to implement a fast data generator, evaluate its statistical correctness against a baseline, and run a convergence test. Your task con"
adaptive-rejection-sampler,3,task_003776_145fbb5b,TMax-15K,5,3,4,4,"Rejection sampling from a given PDF, derive the analytical CDF by hand, then score the samples by KS distance against it.","You are a Machine Learning Engineer preparing synthetic training data for a physics-informed neural network. To ensure your custom data generator is properly calibrated, you need to validate its output against an analytical distribution usi"
adaptive-rejection-sampler,4,task_09244,Terminal-Lego-15k,5,4,4,4,"Inverse-transform sampler for a named density using uniforms only, with empirical mean/sd checked against the theoretical values and samples written out.",# Exponential Distribution Pseudorandom Number Generator ## Task Description Implement a pseudorandom number generator that produces numbers following an **Exponential Distribution**. While standard library random functions typically provid
adaptive-rejection-sampler,5,task_008944_ba409078,TMax-15K,4,4,4,4,Metropolis-Hastings sampler validated against the exact analytical posterior - the 'compare stochastic output to known truth' test design ARS requires.,You are a data scientist validating a custom MCMC sampling algorithm against an analytical solution. You need to write a Python script `/home/user/validate_mcmc.py` that samples from the posterior of a Beta-Binomial model using the Metropol
adaptive-rejection-sampler,6,scientific-computing_20260503_030115_001,CalibForge,4,4,4,4,Adaptive Gauss-Kronrod quadrature that refines where its error estimate is worst and survives hard integrands; ARS's adaptive envelope refinement in another guise.,Implement an adaptive Gauss-Kronrod quadrature numerical integrator in Python. Your implementation must be robust against challenging integrands and provide reliable error estimates. 1. Your solution must include a primary function `integra
adaptive-rejection-sampler,7,scientific-computing_20260413_174325_001,CalibForge,4,4,4,4,Bracketed root-finder with derivative-driven Newton steps and guaranteed convergence - ARS's upper hull is built from these tangent intersections.,Implement a robust hybrid root-finding algorithm in Python that guarantees convergence for continuous functions on bracketing intervals while maintaining fast convergence when possible. Your implementation should: 1. Provide a main function
adaptive-rejection-sampler,8,scientific-computing_20260610_111012_001,CalibForge,4,4,5,4,"Implement GP regression straight from Rasmussen & Williams Ch.2; same genre as implementing Gilks & Wild from the 1992 paper, same depth.","Implement a Gaussian Process (GP) regression model from scratch, following Rasmussen & Williams (2006, Chapter 2). Your implementation must include automatic hyperparameter optimization via gradient-based maximization of the log marginal li"
adaptive-rejection-sampler,9,data-science_20260610_111012_002,CalibForge,4,4,4,4,"Implement distance correlation from the 2007 paper from scratch - turning a cited statistics paper into correct, testable code.","Distance correlation (dCor) is a measure of dependence between two random variables that equals zero if and only if the variables are independent — unlike Pearson correlation, which only captures linear relationships. It was introduced by S"
adaptive-rejection-sampler,10,scientific-computing_20260606_172606_001,CalibForge,4,5,4,4,C implementation of regularized incomplete gamma and its inverse: the distribution-function numerics an ARS log-concavity and normalisation check depends on.,"Your task is to implement a C library for computing the regularized incomplete gamma functions P(a,x) and Q(a,x), along with the gamma function Γ(a), and their inverses. These functions are foundational in computational statistics — they ar"
bn-fit-modify,1,data-science_20260506_213248_004,CalibForge,5,5,4,5,"Estimate the dependence structure from a CSV, then sample synthetic data that preserves it, past a degenerate-covariance failure; the whole fit-modify-resample arc.",A colleague has shared a data analysis pipeline with you. The script `/app/analyze.py` is supposed to: 1. Load data from `/app/data.csv` 2. Compute the correlation matrix 3. Use that correlation matrix to generate synthetic samples from a m
bn-fit-modify,2,sdv-dev__rdt-832,SWE-Rebench-Tasks-Clean,4,5,3,4,"Put a fitted transformer into a chosen parameter state without refitting, then generate from it - the bn.fit-modify-then-sample operation this task is named after.",A git repository with the project this issue is about is checked out somewhere under / (commonly /<project-name>). Find it and work there. Add `_set_fitted_parameters` method to `UniformEncoder` ### Problem Description We'd like to be able 
bn-fit-modify,3,task_000141_5fbf3c2f,TMax-15K,4,5,4,4,Draw correlated multivariate-normal samples from a specified covariance - the forward-sampling step from a linear-Gaussian network's parameters.,You are a Machine Learning Engineer preparing synthetic training data for a spatial regression model. You need to generate correlated multivariate normal samples based on a known covariance structure. Your task is to write a C program that 
bn-fit-modify,4,machine-learning_20260604_004411_002,CalibForge,4,4,4,4,Select a model's structure from data by BIC over candidate sizes; the same evidence-driven decision as picking which six edges the sample supports.,"The script `/app/train_gmm.py` is supposed to fit Gaussian Mixture Models to `/app/data.npy` and select the best K using BIC. It should also compute AIC and save four files: bic_values.npy, aic_values.npy, labels.npy, and log_likelihood.txt"
bn-fit-modify,5,task_000055_b82209d2,TMax-15K,4,5,4,4,Recover the true underlying covariance structure of observed positions by MCMC - inferring the joint dependence model from a finite sample.,"I need you to prepare a robust training dataset from a recent experimental fluid dynamics run, and I'm running into severe numerical instability issues. We recorded a tracer particle experiment, and the video is located at `/app/particle_mo"
bn-fit-modify,6,task_12855,Terminal-Lego-15k,4,4,3,4,Fit a multiple linear regression of one variable on seven others from tabular data - the per-node conditional fit that learning this BN reduces to.,# Multiple Linear Regression from Tabular Data ## Task Description You are given a small tabular dataset containing one dependent variable `y` and seven independent variables `x1` through `x7`. Your task is to perform **multiple linear regr
bn-fit-modify,7,data-science_20260604_193356_007,CalibForge,4,5,4,4,"Build a working HMM: estimate the parameters of a probabilistic graphical model from observed sequences, with the structure given.",A colleague started building a Hidden Markov Model implementation for analyzing sequential data but couldn't get it working before leaving the project. The code is at `/app/hmm_impl.py` and the training data is at `/app/hmm_data.pkl`. The i
bn-fit-modify,8,task_000322_52e0a9fe,TMax-15K,3,5,3,4,Correlation matrix over sensors plus repairing a posterior-inference library built on a Bayesian network; the only pool task naming this domain outright.,"I need your help organizing a dataset of experimental sensor readings, fixing a broken inference library, and setting up an API to serve a Bayesian model. Here are the specific steps you need to complete: 1. **ETL & Correlation Analysis**: "
bn-fit-modify,9,machine-learning_20260606_153537_002,CalibForge,4,5,4,4,"Implement forward-backward for an HMM - exact inference over a factorised graph, the conditional-independence algebra the DAG encodes.",The file `/app/hmm_fb.py` contains skeleton implementations of two Hidden Markov Model algorithms that need to be completed: - `forward_backward()` — should return posterior state probabilities and sequence log-likelihood - `viterbi()` — sh
