tb21_id,rank,task_id,source,skill,domain,task_form,overall,reason,preview
adaptive-rejection-sampler,1,task_003776_145fbb5b,TMax-15K,5,4,4,5,"Rejection sampling from a given PDF, derive the analytical CDF, verify by KS distance and convergence; the closest match in the pool.","You are a Machine Learning Engineer preparing synthetic training data for a physics-informed neural network. To ensure your custom data generator is properly calibrated, you need to validate its output against an analytical distribution usi"
adaptive-rejection-sampler,2,task_009491_a219a910,TMax-15K,5,4,4,5,Rejection sampling an unnormalized density plus a convergence harness against a reference sample; both halves of TB2.1.,"You are a machine learning engineer preparing synthetic training data for a 3D generative model. You need to implement a fast data generator, evaluate its statistical correctness against a baseline, and run a convergence test. Your task con"
adaptive-rejection-sampler,3,task_002076_68e6fa9e,TMax-15K,4,5,3,4,Real R statistical scripting with ks.test and ECDF-vs-analytical-CDF validation; the only R plus goodness-of-fit task found.,You are a data scientist validating a theoretical physical model for particle emission intervals using a multi-language pipeline. You have been provided with an experimental dataset of emission intervals. Your task spans environment managem
adaptive-rejection-sampler,4,task_008944_ba409078,TMax-15K,4,4,4,4,Hand-written sampler checked against the exact conjugate posterior; teaches how to test a stochastic routine against known truth.,You are a data scientist validating a custom MCMC sampling algorithm against an analytical solution. You need to write a Python script `/home/user/validate_mcmc.py` that samples from the posterior of a Beta-Binomial model using the Metropol
adaptive-rejection-sampler,5,task_005564_c049fbb2,TMax-15K,4,4,4,4,Sampling an unnormalized f(x) and validating moments against numerically integrated ground truth in one self-contained program.,"I am preparing training data for a machine learning model that predicts physical system properties. As a first step, I need to generate baseline data for a custom 1D target probability density function, $f(x)$, and verify our sampling metho"
adaptive-rejection-sampler,6,task_003703_9a8452dc,TMax-15K,4,3,3,4,"Rejection sampling with a bounding-box proposal to match a target density, graded by KS D-statistic threshold.","As a machine learning engineer, you need to prepare a highly specific synthetic training dataset of molecular graph properties for a Graph Neural Network. The data pipeline involves generating random graphs, filtering them via Monte Carlo r"
adaptive-rejection-sampler,7,google__jax-22744,SWE-Rebench-Tasks-Clean,4,4,2,4,Density-function edge cases returning NaN; the same careful reasoning about log-densities at domain boundaries ARS requires.,A git repository with the project this issue is about is checked out somewhere under / (commonly /<project-name>). Find it and work there. Binomial and beta-binomial `logpmf` returns NaN and nonzero values when k=n=0 (it should be zero) ###
adaptive-rejection-sampler,8,jax-ml__jax-28022,SWE-Rebench-Tasks-Clean,4,4,2,4,Sampler wrong for small probabilities due to uniform-resolution limits; numerical soundness of a random sampler.,A git repository with the project this issue is about is checked out somewhere under / (commonly /<project-name>). Find it and work there. bernoulli samples fail for small probabilities Example: ```python import jax key = jax.random.key(0) 
adaptive-rejection-sampler,9,task_000371_d0ff3ecb,TMax-15K,4,4,3,4,Generate samples from a known posterior and validate them analytically; same gold-standard-generator-plus-proof structure.,"You are a machine learning engineer preparing baseline synthetic training data for a downstream Bayesian neural network. Your task is to generate samples from a known mathematical posterior to serve as a gold-standard dataset, combining MCM"
adaptive-rejection-sampler,10,axelrod-python__axelrod-1152,SWE-Rebench-Tasks-Clean,4,2,3,3,"Reconcile an implementation with the published paper's description of the algorithm, exactly TB2.1's Gilks-and-Wild fidelity problem.",A git repository with the project this issue is about is checked out somewhere under / (commonly /<project-name>). Find it and work there. Probable (certain?) implementation error in `axelrod_first.TidemanAndChieruzzi` @gaffney2010 has rece
bn-fit-modify,1,task_006425_4b39c264,TMax-15K,5,4,4,5,Estimate a joint model from a table then sample a synthetic dataset from it and measure fidelity; the fit-then-resample core of TB2.1.,"You are a machine learning engineer preparing synthetic training data that mimics a sensitive original dataset. You need to write a pipeline that generates this data using MCMC, evaluates its fidelity using distribution distances, estimates"
bn-fit-modify,2,task_009249_b7441772,TMax-15K,4,4,4,4,"Discover the strongest dependence from a correlation matrix and orient it by an alphabetical tie-break, then fit; mirrors TB2.1's orientation rule.",You are a data analyst for an industrial manufacturing plant. You have been provided with a dataset of sensor readings in `/home/user/sensor_data.csv`. The dataset contains multiple continuous variables representing different machine metric
bn-fit-modify,3,task_000364_8e238a27,TMax-15K,4,4,4,4,Estimate distribution parameters from observed data and emit a fixed number of samples drawn from the fitted model to an exact CSV.,"You are acting as a machine learning engineer preparing training data for an anomaly detection model. You have a raw telemetry log from various sensors, but the data is sparse for a specific critical sensor. You need to extract its observat"
bn-fit-modify,4,sdv-dev__rdt-977,SWE-Rebench-Tasks-Clean,3,5,2,4,Synthetic rows from a fitted copula synthesizer come out degenerate; debugging a learn-a-joint-model-and-sample-a-table pipeline.,"A git repository with the project this issue is about is checked out somewhere under / (commonly /<project-name>). Find it and work there. Synthetic data contains all nulls with some RDTs, with min/max enforcement enabled, and null column l"
bn-fit-modify,5,task_000322_52e0a9fe,TMax-15K,3,4,3,3,Use the correlation matrix to decide which variables are redundant and serve a Bayesian-network posterior; dependence structure over sensor variables.,"I need your help organizing a dataset of experimental sensor readings, fixing a broken inference library, and setting up an API to serve a Bayesian model. Here are the specific steps you need to complete: 1. **ETL & Correlation Analysis**: "
