tb21_id,top10_task_ids,top10_sources,mean_overall
adaptive-rejection-sampler,task_003776_145fbb5b|task_009491_a219a910|task_002076_68e6fa9e|task_008944_ba409078|task_005564_c049fbb2|task_003703_9a8452dc|google__jax-22744|jax-ml__jax-28022|task_000371_d0ff3ecb|axelrod-python__axelrod-1152,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|SWE-Rebench-Tasks-Clean|TMax-15K|SWE-Rebench-Tasks-Clean,4.1
bn-fit-modify,task_006425_4b39c264|task_009249_b7441772|task_000364_8e238a27|sdv-dev__rdt-977|task_000322_52e0a9fe|task_002145_763a4445|pymc-devs__pymc-7637|task_000141_5fbf3c2f|task_000577_2ef69d90|tw_125967,TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean,3.5
break-filter-js-from-html,task_003787_156cb610|task_000151_eed227cf|task_000092_f4073751|task_000798_d7c5b764|python-markdown__markdown-1072|task_000037_6b3061e0|task_000022_21389603|tw_207807|lepture__mistune.bf54ef67.lm_rewrite__u9gus5ea|task_000190_fc09cf3a,TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|SWE-Smith-Seeds-Clean|TMax-15K,3.8
build-cython-ext,task_000112_fefb47b8|task_000589_21509b0c|task_001162_eff22bd4|rts_task_e1c8c5fa243d311f29c1d6b6|task_000657_8a6da3d4|task_001533_bcad5bcb|pypa__setuptools-4676|task_000505_265772e9|bashtage__arch-741|task_000084_2e6745ad,TMax-15K|TMax-15K|TMax-15K|Recursive-Task-Synthesis|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K,3.9
build-pmars,tw_2077|task_000956_d4ef2604|tw_17688|task_002096_dbcfa500|rts_task_08b107d941826dce48b6a75d|tw_157071|rts_task_64c57d1e84b4f7457cd48d6b|task_000172_9d5cca3a|tw_112262|task_002085_99894026,TerminalWorld-Seeds-Clean|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K,4.2
build-pov-ray,tw_8593|task_003853_457136d4|rts_task_a1fb5d219782b2ad9fd0ccbe|task_002996_9b750971|tw_17688|task_000423_4dba82f4|tw_15324|rts_task_43c0269eab61f4f5fb8cafaf|task_002737_29eccf53|tw_533008,TerminalWorld-Seeds-Clean|TMax-15K|Recursive-Task-Synthesis|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TMax-15K|TerminalWorld-Seeds-Clean,4.1
caffe-cifar-10,rts_task_a48bb6a87568de6f4342d7e0|tw_588262|task_005422_44da660a|rts_task_273506dfe1d5bfc5c2b4f83c|tw_18271|tw_157071|task_001129_becccfbc|tw_17238|task_000854_fe200810|facebookresearch__fvcore.a491d5b9.combine_file__htnzvb1x,Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|TMax-15K|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|TerminalWorld-Seeds-Clean|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|SWE-Smith-Seeds-Clean,3.9
cancel-async-tasks,task_002782_8ddf86de|Cog-Creators__Red-DiscordBot.33e0eac7.combine_module__9p10bve9|aaugustin__websockets-467|task_000705_dd1c4aef|python-trio__trio.cfbbe2c1.pr_3051|task_003430_e10679d1|python-trio__trio-2845|rts_task_d0d85b0aa334978c5f38571f|python-trio__trio.cfbbe2c1.combine_module__2e5xy8b7|task_001433_7846c37a,TMax-15K|SWE-Smith-Seeds-Clean|SWE-Rebench-Tasks-Clean|TMax-15K|SWE-Smith-Seeds-Clean|TMax-15K|SWE-Rebench-Tasks-Clean|Recursive-Task-Synthesis|SWE-Smith-Seeds-Clean|TMax-15K,4.1
chess-best-move,task_000843_e4d5c63e|tw_372371|rts_task_2629efb30267270e1cd69b57|tw_4289|task_000248_5bd4d1d1|aspp__pelita-875|task_000405_db54ffe9|burnash__gspread.a8be3b96.func_pm_ctrl_shuffle__o621cgb3|tw_144971|axelrod-python__axelrod-1113,TMax-15K|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|SWE-Smith-Seeds-Clean|TerminalWorld-Seeds-Clean|SWE-Rebench-Tasks-Clean,3.5
circuit-fibsqrt,tw_621404|tw_713358|rts_task_7456b58e87defe2142377a5a|task_000258_60a61045|qiskit__qiskit-terra-7952|rts_task_e22f09d81acdd0f844580eb7|task_001481_3bacc41d|task_000246_a1b7a5cc|rts_task_b6b02584385fd4ad601f40ce|tw_360407,TerminalWorld-Seeds-Clean|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TMax-15K|SWE-Rebench-Tasks-Clean|Recursive-Task-Synthesis|TMax-15K|TMax-15K|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean,4.0
cobol-modernization,task_000058_5b337278|task_003546_320d43aa|task_002827_0428ee83|task_001689_43cd859c|task_003146_99406eeb|task_003388_b673399c|task_007893_afa5eeb2|task_003266_90b0df8c|task_001549_376af22d|pyccel__pyccel-2038,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean,4.2
code-from-image,task_000246_a1b7a5cc|task_002191_1eb8c657|task_000153_c5ddde93|task_003492_fbc876b2|task_003153_b8377035|task_004606_391aae46|task_000234_dc2d9846|task_003622_c13285ca|task_003914_d9c1a0ff|task_002229_9a52b13d,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K,4.5
compile-compcert,rts_task_020ad1689cad3626497b56fe|rts_task_afd60c089eb038e4ad5ef336|tw_528959|tw_135422|tw_157071|tw_17688|rts_task_a1fb5d219782b2ad9fd0ccbe|tw_112262|rts_task_23434452c7727f330a7edb22|tw_6033,Recursive-Task-Synthesis|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|TerminalWorld-Seeds-Clean|TerminalWorld-Seeds-Clean|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean,4.5
configure-git-webserver,task_000323_88f28a61|task_002999_f7a7fdaf|task_000176_2b846a1b|task_001398_c3476d8e|task_001955_4ec487fa|task_001245_ef5510da|task_000189_231156cd|tw_321921|tw_220186|tw_313804,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TerminalWorld-Seeds-Clean|TerminalWorld-Seeds-Clean,4.4
constraints-scheduling,task_002086_c329710c|task_000597_e676e1f7|task_004407_3de0d0ba|collective__icalendar-878|task_004627_4d1d2cb8|task_002869_18f98df5|task_004350_6860d937|task_003405_f49bffaf|task_000896_55f40413|dbader__schedule.82a43db1.func_pm_remove_cond__9tbtqjem,TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Smith-Seeds-Clean,3.6
count-dataset-tokens,task_004701_979f0bf8|task_004812_68a1963b|huggingface__transformers-36497|task_003644_d3ffecd2|task_002347_599a129f|rts_task_e69fdae3612dcbc49b035654|tw_259453|rts_task_9fc576bfba789ec7cbb43fbb|facebookresearch__fvcore.a491d5b9.lm_rewrite__pcccevul|task_008358_9397763a,TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|SWE-Smith-Seeds-Clean|TMax-15K,3.9
crack-7z-hash,tw_733601|task_000306_b7243206|tw_108746|task_000111_b2f871c2|tw_651283|task_000404_22839b0e|tw_383451|task_000476_14b909cc|rts_task_472b30c1f09b93a26ff5f8a2|task_006486_83be373e,TerminalWorld-Seeds-Clean|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|Recursive-Task-Synthesis|TMax-15K,4.5
custom-memory-heap-crash,task_000583_85cb2773|task_002407_11a9ee76|task_005123_5f117bdb|task_009821_3f039f12|tw_7829|task_000405_db54ffe9|task_000342_ca9a6adf|task_001257_21489dc1|tw_245032|task_000297_dd740392,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K,4.3
