tb21_id,top1_source,top1_id,top1_score,tb21_preview,top1_preview,n_SWE-Smith-Seeds-Clean,n_SWE-Rebench-Tasks-Clean,n_TerminalWorld-Seeds-Clean,n_Recursive-Task-Synthesis,n_TMax-15K
distribution-search,TMax-15K,task_000624_6f630314,0.403943,"Finding a target probability distribution for LLM confidence metrics:

The confidence of a token prediction in an LLM can be quantified using different metrics. This implementation
focuses on two metrics based on KL divergence from the unif","I am a bioinformatics researcher analyzing DNA sequences. I wrote a C program, `/home/user/kmer_dist.c`, that reads a FASTA file, calculates the frequencies of all 3-mers (trimers) to form a probability distribution, and computes the Kullba",0,3,2,0,25
mailman,TMax-15K,task_004633_699622fd,0.334972,"Spin up a mailing list server for our reading group: reading-group@local.edu using postfix and mailman3 (both are installed already).

The mailing list has basic mailman3 functionalities like:

- Mailing ""reading-group-join@local.edu"" adds ",You are an administrator managing an internal system that tracks user mailing list subscriptions.,1,0,0,1,28
qemu-startup,TerminalWorld-Seeds-Clean,tw_101115,0.264054,Start the /app/alpine.iso image in qemu in such a way that I can connect to it via `telnet 127.0.0.1 6665`. When I run telnet I will expect to see the login prompt; I'll log in. You should just get me to this point. Start the image in the b,"Retrieve the content served by the telnet service running on `macron.coz` port 23. Connect as root with no password and capture the response to `/app/result.txt`.

The file `/app/result.txt` should contain the raw output received from the t",0,4,10,11,5
polyglot-rust-c,TMax-15K,task_005942_dfc48f98,0.261244,"Write me a single file in /app/polyglot/main.rs which is a polyglot, that is, I can run

`rustc /app/polyglot/main.rs && /app/polyglot/main N`
or
`g++ -x c++ /app/polyglot/main.rs -o /app/polyglot/cmain && /app/polyglot/cmain N`.

Both of t","You are tasked with fixing a mathematical polyglot project located at `/home/user/math_polyglot`. The system computes the 93rd Fibonacci number using a fast iterative approach. For performance, the core math logic is written in Rust, which ",1,2,3,15,9
mcmc-sampling-stan,TMax-15K,task_000421_7152a39e,0.249079,"Sample from a hierarchical Bayesian model using R and Stan, and estimate the posterior means of the parameters.

Your task:
1. Install the RStan package (version 2.32.7) for R and the required dependencies for Stan
2. Load the dataset from ",You are a Machine Learning Engineer preparing training data for a surrogate model. You are using a C program that performs Markov Chain Monte Carlo (MCMC) sampling to find the posterior mean of the parameters for a linear regression model (,0,0,1,0,29
dna-assembly,TMax-15K,task_009609_4020df5e,0.248287,"The file titled sequences.fasta contains the following sequences:
 * input: A circular input plasmid.
 * egfp: A linear DNA sequence encoding the egfp protein.
 * flag: A linear DNA sequence encoding the FLAG protein and GS linkers.
 * snap",You are a bioinformatics researcher attempting to design an optimal DNA primer for an assay. You have a target DNA sequence and a background DNA sequence. You also have a list of candidate 10-mer (10-nucleotide) primers.,0,0,0,0,30
dna-insert,TMax-15K,task_005794_09f4b5e9,0.246114,"The file titled sequences.fasta contains the sequence for a circular input plasmid, and a desired output plasmid. Design primers so that the input plasmid will be converted to the output plasmid when using NEB's Q5 site-directed mutagenesis","As a performance engineer, you have been tasked with optimizing a critical bioinformatics script used for primer design. The script `/home/user/primer_tool.py` attempts to find the optimal melting temperature and GC ratio to maximize a simu",0,1,0,1,28
git-leak-recovery,TerminalWorld-Seeds-Clean,tw_459969,0.239086,"A secret was accidentally committed to this repository in /app and then removed by rewriting history.
Please 
 1. recover the secret and write it to a /app/secret.txt file. 
 2. clean up the secret in that repo to make sure it cannot be fou","Extract a secret value that was accidentally baked into a Docker image layer. In `/app`, there is a `Dockerfile` that builds an image called `example`. Despite any attempts to remove or hide a secret file during the build process, the secre",0,0,5,19,6
video-processing,SWE-Smith-Seeds-Clean,tweepy__tweepy.91a41c6e.lm_rewrite__0phsmhs8,0.237184,"Write a script, named jump_analyzer.py, and place it in `/app/jump_analyzer.py` . The script analyzes MP4 videos of hurdle jumpers and extracts performance metrics. In the video, there is a single jump recorded. You have to figure out how t","# MP4 video upload fails with chunked_upload

**Describe the bug**
When trying to upload an MP4 video file using the chunked_upload method, the upload fails. This happens when trying to upload any MP4 video file.

**To Reproduce**
Steps to ",2,1,0,0,27
polyglot-c-py,TMax-15K,task_005942_dfc48f98,0.236767,"Write me a single file in /app/polyglot/main.py.c which is a polyglot, that is, I can run

`python3 /app/polyglot/main.py.c N`
or
`gcc /app/polyglot/main.py.c -o /app/polyglot/cmain && /app/polyglot/cmain N`

Both of these should print to s","You are tasked with fixing a mathematical polyglot project located at `/home/user/math_polyglot`. The system computes the 93rd Fibonacci number using a fast iterative approach. For performance, the core math logic is written in Rust, which ",1,2,6,18,3
crack-7z-hash,TerminalWorld-Seeds-Clean,tw_112619,0.234796,"You need to create a file called ""/app/solution.txt"" with the word found in ""secret_file.txt"" in the ""secrets.7z"" archive.",Create a file called `from-chroot` inside the btrfs snapshot container located at `containers/alpine-container/` by running a command within that chroot environment. The file should exist at `/root/containers/containers/alpine-container/fro,0,0,8,5,17
install-windows-3.11,TMax-15K,task_007301_ebf01c80,0.23133,"Run Windows 3.11 for Workgroups in a virtual machine using qemu. You image is in `/app/isos/win311.img`. This image is known to be compatible with QEMU 5.2.0

VNC Configuration Requirements:
- Configure QEMU to use VNC display :1
- Ensure V","You are a Site Reliability Engineer (SRE) configuring a lightweight uptime monitor for a QEMU Virtual Machine's VNC interface. You need to back up your current environment configuration, update your shell profile with a new monitoring targe",0,0,4,3,23
prove-plus-comm,Recursive-Task-Synthesis,rts_task_9bea742175cbc6b155920a37,0.218678,"Fix the incomplete proof of addition commutativity in the file plus_comm.v. The file contains a partial proof that needs to be completed.

The theorem states that addition is commutative for natural numbers (forall n m : nat, n + m = m + n)","Prove commutativity of natural number addition for the `Demo` module using `agda-tac`, and compile the proof with Agda to produce verified interface files in `/workspace/`.
First, confirm that Agda and `agda-tac` are installed, then ensure ",0,0,6,21,3
caffe-cifar-10,TMax-15K,task_009174_a35198eb,0.216578,"Install the original BVLC Caffe deep learning framework (version 1.0.0) and train a
convolutional neural network to classify CIFAR-10 images. Clone Caffe to /app/caffe
and build for only CPU execution, training for exactly
500 iterations. T",You are a machine learning engineer preparing graph-based features from protein structures to train a new geometric deep learning model.,0,0,0,0,30
db-wal-recovery,TMax-15K,task_002015_30c1f280,0.215214,"I have a database in WAL (Write-Ahead Logging) mode in /app/. 
However, the WAL file appears to be corrupted or encrypted. When you try to 
access the database, SQLite may only show the base data (5 records) instead 
of all 11 records that ","A custom logging database used by our legacy application has crashed, leaving behind a partially corrupted Write-Ahead Log (WAL) file. The vendor who provided the database is out of business, but we found a stripped binary `wal_recovery_too",0,0,0,0,30
openssl-selfsigned-cert,TerminalWorld-Seeds-Clean,tw_526697,0.212205,"Your company needs a self-signed TLS certificate for an internal development server. Create a self-signed certificate using OpenSSL with the following requirements:

1. Create a directory at `/app/ssl/` to store all files

2. Generate a 204",There is a `Dockerfile` located at `/app/self_signed_certificates/Dockerfile` that defines a container image with `mkcert` installed. Build this container image and use it to generate a self-signed TLS certificate and private key valid for ,0,0,7,21,2
pytorch-model-recovery,TMax-15K,task_008439_6d43da48,0.208144,"- You are given a PyTorch state dictionary (/app/weights.pt) representing the weights of a Pytorch model, and a dataset (/app/dataset.pt) containing input-output pairs. Your task is to:
Task:
 - Reconstruct the original model architecture b","You are a data scientist optimizing a Gaussian model to fit a set of observed spectral peaks. You have been provided with a model evaluation script, `/home/user/evaluate_fit.py`, which calculates the Mean Squared Error (MSE) for a given set",0,2,1,1,26
break-filter-js-from-html,TMax-15K,task_006266_c8cac288,0.206873,"There's a /app/filter.py script that attempts to remove JavaScript from HTML files to prevent XSS attacks.
The /app/filter.py script takes an HTML file as a command-line argument and modifies it in-place.

Usage: python /app/filter.py <html",You are tasked with setting up a polyglot build system for a new Web Application Firewall (WAF). The system relies on a C++ core for fast packet processing and a Rust library for memory-safe HTML sanitization (to prevent XSS attacks).,0,0,6,11,13
filter-js-from-html,TMax-15K,task_006266_c8cac288,0.206296,"Create a python file /app/filter.py that removes JavaScript from HTML files to prevent XSS attacks. You should preserve as much of the HTML as possible (e.g., preserve standard formatting, tables, headers, non-dangerous-attributes, etc).

T",You are tasked with setting up a polyglot build system for a new Web Application Firewall (WAF). The system relies on a C++ core for fast packet processing and a Rust library for memory-safe HTML sanitization (to prevent XSS attacks).,7,0,4,14,5
train-fasttext,TerminalWorld-Seeds-Clean,tw_18273,0.199938,"Please train a fasttext model on the yelp data in the data/ folder.

The final model size needs to be less than 150MB but get at least 0.62 accuracy on a private test set that comes from the same yelp review distribution.

The model should ","Train an SVM classifier using the LIBSVM library on the heart disease dataset located at `/libsvm/heart_scale`. Use the first 170 samples as training data and the remaining 100 samples as validation data, saving them to `/app/heart.training",0,1,1,1,27
