tb21_id,top10_task_ids,top10_sources,mean_overall
adaptive-rejection-sampler,scientific-computing_20260421_155939_001|task_009491_a219a910|task_003776_145fbb5b|task_09244|task_008944_ba409078|scientific-computing_20260503_030115_001|scientific-computing_20260413_174325_001|scientific-computing_20260610_111012_001|data-science_20260610_111012_002|scientific-computing_20260606_172606_001,CalibForge|TMax-15K|TMax-15K|Terminal-Lego-15k|TMax-15K|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge,4.1
bn-fit-modify,data-science_20260506_213248_004|sdv-dev__rdt-832|task_000141_5fbf3c2f|machine-learning_20260604_004411_002|task_000055_b82209d2|task_12855|data-science_20260604_193356_007|task_000322_52e0a9fe|machine-learning_20260606_153537_002|task_003038_2570926b,CalibForge|SWE-Rebench-Tasks-Clean|TMax-15K|CalibForge|TMax-15K|Terminal-Lego-15k|CalibForge|TMax-15K|CalibForge|TMax-15K,4.1
break-filter-js-from-html,security_20260509_202829_001|task_07041|security_20260602_105139_001|task_08835|task_000577_f42f11cc|task_13811|task_000510_5b2fc38e|security_20260514_012509_001|security_20260614_141608_001|Knio__dominate.9082227e.combine_file__n1qm27ke,CalibForge|Terminal-Lego-15k|CalibForge|Terminal-Lego-15k|TMax-15K|Terminal-Lego-15k|TMax-15K|CalibForge|CalibForge|SWE-Smith-Seeds-Clean,4.1
build-cython-ext,debugging_20260606_172554_001|software-engineering_20260513_204536_002|task_000485_af988d1d|debugging_20260610_111012_001|debugging_20260509_065529_001|task_000084_2e6745ad|debugging_20260613_152233_001|debugging_20260610_111702_001|task_000322_52e0a9fe|pypa__setuptools-4676,CalibForge|CalibForge|TMax-15K|CalibForge|CalibForge|TMax-15K|CalibForge|CalibForge|TMax-15K|SWE-Rebench-Tasks-Clean,4.4
build-pmars,software-engineering_20260420_020307_001|software-engineering_20260415_123352_001|software-engineering_20260414_091921_001|tw_694280|machine-learning_20260604_194036_001|task_00260|debugging_20260610_112157_001|tw_417753|task_11943|tw_129867,CalibForge|CalibForge|CalibForge|TerminalWorld-Seeds-Clean|CalibForge|Terminal-Lego-15k|CalibForge|TerminalWorld-Seeds-Clean|Terminal-Lego-15k|TerminalWorld-Seeds-Clean,4.2
build-pov-ray,software-engineering_20260604_003113_002|software-engineering_20260613_152233_002|software-engineering_20260611_205750_002|software-engineering_20260430_081156_002|software-engineering_20260604_144210_002|software-engineering_20260617_051646_002|software-engineering_20260603_181444_002|software-engineering_20260606_172554_002|software-engineering_20260510_062946_002|task_002737_29eccf53,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K,4.4
caffe-cifar-10,machine-learning_20260601_053159_001|machine-learning_20260606_172606_001|machine-learning_20260610_112157_001|machine-learning_20260605_015435_001|machine-learning_20260604_144210_001|machine-learning_20260603_181444_001|machine-learning_20260604_003113_001|machine-learning_20260602_105139_001|machine-learning_20260604_194036_001|tw_18273,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TerminalWorld-Seeds-Clean,4.3
cancel-async-tasks,software-engineering_20260507_172207_003|software-engineering_20260419_112101_003|software-engineering_20260507_173144_003|software-engineering_20260507_170334_003|task_003554_91800ef0|software-engineering_20260511_150433_003|software-engineering_20260603_181444_003|task_003764_3d6b8df9|software-engineering_20260429_103257_003|task_000705_dd1c4aef,CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K,4.3
chess-best-move,games_20260604_004411_001|games_20260611_112034_001|games_20260601_053159_001|games_20260606_172622_001|games_20260416_020953_001|games_20260612_191200_001|games_20260615_105532_001|task_13538|games_20260611_205750_001|games_20260615_143956_001,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|Terminal-Lego-15k|CalibForge|CalibForge,4.3
circuit-fibsqrt,software-engineering_20260601_053159_004|software-engineering_20260606_153537_004|software-engineering_20260511_015840_004|software-engineering_20260603_181444_018|software-engineering_20260508_045740_004|task_000405_db54ffe9|task_09170|software-engineering_20260604_194036_025|task_000258_60a61045|software-engineering_20260610_111012_004,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|Terminal-Lego-15k|CalibForge|TMax-15K|CalibForge,4.5
cobol-modernization,software-engineering_20260419_065313_005|software-engineering_20260419_023954_005|software-engineering_20260507_093408_005|task_001549_376af22d|software-engineering_20260508_204815_005|task_003400_a6cc667a|software-engineering_20260430_081156_005|task_004796_0a0519b2|task_002223_e0a30625|axelrod-python__axelrod-1113,CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K|CalibForge|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean,4.2
code-from-image,file-operations_20260610_111702_003|task_005252_9cc400a9|games_20260601_053159_001|task_004606_391aae46|games_20260611_205750_001|task_000105_2c3c3a76|games_20260604_002443_001|task_000333_7a82aa70|file-operations_20260509_111805_001|task_09114,CalibForge|TMax-15K|CalibForge|TMax-15K|CalibForge|TMax-15K|CalibForge|TMax-15K|CalibForge|Terminal-Lego-15k,4.4
compile-compcert,software-engineering_20260503_030115_001|tw_6033|software-engineering_20260507_172207_002|software-engineering_20260513_204744_002|tw_135422|software-engineering_20260507_093408_002|task_10623|tw_204493|task_000630_d219562d|conan-io__conan.86f29e13.pr_11678,CalibForge|TerminalWorld-Seeds-Clean|CalibForge|CalibForge|TerminalWorld-Seeds-Clean|CalibForge|Terminal-Lego-15k|TerminalWorld-Seeds-Clean|TMax-15K|SWE-Smith-Seeds-Clean,4.3
configure-git-webserver,system-administration_20260415_094424_002|task_005314_7cca9f30|task_002290_2f19b664|system-administration_20260509_111805_005|system-administration_20260610_112157_004|task_006679_24c9d5ea|system-administration_20260613_152233_007|task_008507_de9e4b80|tw_220186|jelmer__dulwich-1073,CalibForge|TMax-15K|TMax-15K|CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K|TerminalWorld-Seeds-Clean|SWE-Rebench-Tasks-Clean,4.4
constraints-scheduling,personal-assistant_20260419_182351_001|personal-assistant_20260415_182321_001|personal-assistant_20260514_134238_001|task_09097|personal-assistant_20260417_112147_001|personal-assistant_20260419_023954_001|personal-assistant_20260510_125534_001|collective__icalendar-878|task_08960|task_000413_de5af0d1,CalibForge|CalibForge|CalibForge|Terminal-Lego-15k|CalibForge|CalibForge|CalibForge|SWE-Rebench-Tasks-Clean|Terminal-Lego-15k|TMax-15K,4.4
count-dataset-tokens,model-training_20260501_172213_001|model-training_20260503_030115_001|model-training_20260418_190236_001|model-training_20260510_142854_001|model-training_20260509_020109_001|model-training_20260618_093107_001|model-training_20260510_125534_001|task_007987_c3a86327|task_002347_599a129f|tw_584886,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean,4.3
crack-7z-hash,task_000306_b7243206|task_000404_22839b0e|task_000686_867b10d0|task_000631_386f48f2|security_20260501_172213_002|task_003528_a9c79a93|task_000476_14b909cc|security_20260513_205011_002|security_20260604_193356_002|rts_task_6e8029aca9566b2126985d35,TMax-15K|TMax-15K|TMax-15K|TMax-15K|CalibForge|TMax-15K|TMax-15K|CalibForge|CalibForge|Recursive-Task-Synthesis,4.5
custom-memory-heap-crash,software-engineering_20260416_172928_016|debugging_20260415_182321_002|task_07249|software-engineering_20260418_044216_016|debugging_20260421_155939_002|debugging_20260507_170244_002|debugging_20260612_191200_002|task_07194|debugging_20260610_111012_002|task_000312_c54963ff,CalibForge|CalibForge|Terminal-Lego-15k|CalibForge|CalibForge|CalibForge|CalibForge|Terminal-Lego-15k|CalibForge|TMax-15K,4.5
db-wal-recovery,file-operations_20260501_051538_002|file-operations_20260416_172928_002|debugging_20260508_204815_005|file-operations_20260501_172213_004|file-operations_20260430_081156_004|file-operations_20260415_182321_004|file-operations_20260506_213248_004|task_001233_2cf2dc10|task_14420|file-operations_20260604_004411_001,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|Terminal-Lego-15k|CalibForge,4.5
distribution-search,machine-learning_20260604_003113_002|machine-learning_20260504_125558_002|machine-learning_20260510_062946_002|machine-learning_20260509_065529_002|machine-learning_20260425_072438_002|machine-learning_20260601_053159_002|machine-learning_20260508_045740_002|machine-learning_20260508_153434_002|task_006780_f07da33b|task_04356,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|Terminal-Lego-15k,4.5
dna-assembly,scientific-computing_20260513_204536_003|scientific-computing_20260508_180627_004|task_002586_51207d88|scientific-computing_20260422_235114_003|task_001544_7d95dda4|task_002599_c0a64d58|scientific-computing_20260415_123352_003|task_005084_af94922a|scientific-computing_20260617_104707_003|task_003839_04146172,CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K|TMax-15K|CalibForge|TMax-15K|CalibForge|TMax-15K,4.1
dna-insert,scientific-computing_20260513_204536_003|scientific-computing_20260508_180627_004|scientific-computing_20260415_094424_006|task_001544_7d95dda4|scientific-computing_20260510_005520_006|task_002599_c0a64d58|scientific-computing_20260414_091921_004|task_004338_6800b70e|task_000078_704c9ecc|scientific-computing_20260604_194036_003,CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K|CalibForge|TMax-15K|TMax-15K|CalibForge,4.0
extract-elf,software-engineering_20260415_094424_014|software-engineering_20260503_182123_010|software-engineering_20260509_065529_014|software-engineering_20260604_003113_018|file-operations_20260604_003814_002|software-engineering_20260510_005520_026|software-engineering_20260501_172213_014|task_002410_b5ee16be|task_000135_8b1a9518|file-operations_20260604_003113_002,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|TMax-15K|CalibForge,4.2
extract-moves-from-video,task_001779_b04c543c|task_001906_46d1eb8c|task_004605_6a1e7020|task_000249_ff55f46a|task_005198_27da4d18|task_000038_b0af17b4|task_004253_a219ac05|rts_task_7eefa8c4246cf6df33bd2f2a|file-operations_20260610_111702_003|tw_345797,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|Recursive-Task-Synthesis|CalibForge|TerminalWorld-Seeds-Clean,4.2
feal-differential-cryptanalysis,mathematics_20260602_105139_001|mathematics_20260606_172622_001|mathematics_20260514_011125_001|task_000543_f14bdc85|task_001371_86b003c8|task_000411_2d024b4b|mathematics_20260510_005520_001|task_000690_9d6ed460|mathematics_20260610_112157_001|task_001319_7fb21e9a,CalibForge|CalibForge|CalibForge|TMax-15K|TMax-15K|TMax-15K|CalibForge|TMax-15K|CalibForge|TMax-15K,4.3
feal-linear-cryptanalysis,mathematics_20260602_105139_001|mathematics_20260606_172622_001|task_001946_12623d4f|mathematics_20260606_172606_002|mathematics_20260514_011125_001|mathematics_20260601_053159_002|task_001904_f82f3bc6|mathematics_20260510_062946_001|task_001371_86b003c8|mathematics_20260606_153537_002,CalibForge|CalibForge|TMax-15K|CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K|CalibForge,4.4
filter-js-from-html,security_20260430_081156_003|security_20260509_202829_001|task_06939|task_07072|task_000699_8860634f|buriy__python-readability.40256f40.func_basic__kjp0xgsf|task_06389|task_000707_1b3b8e20|pallets__markupsafe.620c06c9.pr_418|security_20260614_141608_001,CalibForge|CalibForge|Terminal-Lego-15k|Terminal-Lego-15k|TMax-15K|SWE-Smith-Seeds-Clean|Terminal-Lego-15k|TMax-15K|SWE-Smith-Seeds-Clean|CalibForge,4.2
financial-document-processor,personal-assistant_20260617_210354_001|file-operations_20260614_141608_003|file-operations_20260416_172928_003|task_000298_bd10fc23|task_002749_ce9fc4b8|jsvine__pdfplumber.02ff4313.func_pm_ctrl_invert_if__aoaoo8m3|task_001973_920dc987|data-processing_20260417_145736_002|task_04291|file-operations_20260424_090344_004,CalibForge|CalibForge|CalibForge|TMax-15K|TMax-15K|SWE-Smith-Seeds-Clean|TMax-15K|CalibForge|Terminal-Lego-15k|CalibForge,4.2
fix-code-vulnerability,bottlepy__bottle.a8dfef30.func_pm_remove_cond__0zlkz504|security_20260603_181444_004|security_20260511_015840_004|security_20260605_015435_004|bottlepy__bottle.a8dfef30.func_pm_ctrl_shuffle__9nj3nop9|security_20260604_003814_004|security_20260606_153537_004|bottlepy__bottle.a8dfef30.func_pm_ctrl_invert_if__37hgzfuo|security_20260416_031414_004|task_009880_c77d5d17,SWE-Smith-Seeds-Clean|CalibForge|CalibForge|CalibForge|SWE-Smith-Seeds-Clean|CalibForge|CalibForge|SWE-Smith-Seeds-Clean|CalibForge|TMax-15K,4.6
fix-git,task_11565|task_11606|task_01865|task_10506|task_11465|security_20260509_205636_006|task_001466_99e645e3|software-engineering_20260503_182123_007|file-operations_20260604_003113_005|task_11392,Terminal-Lego-15k|Terminal-Lego-15k|Terminal-Lego-15k|Terminal-Lego-15k|Terminal-Lego-15k|CalibForge|TMax-15K|CalibForge|CalibForge|Terminal-Lego-15k,4.3
fix-ocaml-gc,software-engineering_20260604_003113_014|software-engineering_20260607_104421_008|software-engineering_20260604_002443_008|software-engineering_20260510_142854_026|software-engineering_20260414_091921_008|software-engineering_20260618_093107_008|task_07249|software-engineering_20260604_003814_004|software-engineering_20260606_153537_008|task_001917_a27a0211,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|Terminal-Lego-15k|CalibForge|CalibForge|TMax-15K,4.3
gcode-to-text,file-operations_20260611_210349_004|file-operations_20260604_002443_004|file-operations_20260610_111012_004|task_14037|task_001718_513bde5d|pdfminer__pdfminer.six.1a8bd2f7.pr_887|file-operations_20260616_094815_004|file-operations_20260604_193056_004|file-operations_20260611_112034_004|task_000845_2fd86cc2,CalibForge|CalibForge|CalibForge|Terminal-Lego-15k|TMax-15K|SWE-Smith-Seeds-Clean|CalibForge|CalibForge|CalibForge|TMax-15K,4.0
git-leak-recovery,security_20260611_210349_008|software-engineering_20260602_105139_006|task_11504|system-administration_20260603_181444_008|rts_task_05b12b8f06acd0e46d3f0039|security_20260607_104421_002|task_002384_377945af|task_11392|tw_329715|security_20260508_045557_006,CalibForge|CalibForge|Terminal-Lego-15k|CalibForge|Recursive-Task-Synthesis|CalibForge|TMax-15K|Terminal-Lego-15k|TerminalWorld-Seeds-Clean|CalibForge,4.6
git-multibranch,system-administration_20260415_094424_002|task_003575_8f9fa187|system-administration_20260604_003814_003|system-administration_20260604_193056_006|task_008507_de9e4b80|system-administration_20260606_172554_003|system-administration_20260613_152233_007|task_11863|task_10658|system-administration_20260604_002443_003,CalibForge|TMax-15K|CalibForge|CalibForge|TMax-15K|CalibForge|CalibForge|Terminal-Lego-15k|Terminal-Lego-15k|CalibForge,4.5
gpt2-codegolf,software-engineering_20260510_125534_010|model-training_20260617_051646_002|software-engineering_20260603_181444_010|task_001973_2cb06dfa|software-engineering_20260509_111805_010|task_000513_d8761e46|task_12241|software-engineering_20260506_213248_010|machine-learning_20260604_002443_002|task_13481,CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K|Terminal-Lego-15k|CalibForge|CalibForge|Terminal-Lego-15k,4.2
headless-terminal,software-engineering_20260501_172213_011|software-engineering_20260417_145736_011|software-engineering_20260508_045557_011|software-engineering_20260415_123352_011|software-engineering_20260507_093408_011|software-engineering_20260510_130518_011|software-engineering_20260419_065313_011|software-engineering_20260415_182321_011|pexpect__ptyprocess.1067dbda.func_pm_remove_assign__ivbnyzsb|task_00268,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|SWE-Smith-Seeds-Clean|Terminal-Lego-15k,4.4
hf-model-inference,task_003986_4e4c690f|task_003205_4267f918|software-engineering_20260612_191200_020|model-training_20260420_020307_001|task_11337|task_000680_ff6ac094|task_004201_f72247f2|system-administration_20260614_141608_008|task_12501|machine-learning_20260511_150433_001,TMax-15K|TMax-15K|CalibForge|CalibForge|Terminal-Lego-15k|TMax-15K|TMax-15K|CalibForge|Terminal-Lego-15k|CalibForge,4.1
install-windows-3.11,task_003133_85965df1|task_003288_e131a9f5|system-administration_20260606_172622_007|task_003951_3539778b|task_005135_29890231|task_008098_92d1e2a9|tw_436604|task_10686|system-administration_20260509_065529_001|task_003890_44be0a93,TMax-15K|TMax-15K|CalibForge|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|Terminal-Lego-15k|CalibForge|TMax-15K,4.4
kv-store-grpc,task_000382_d6f23c02|task_12106|task_006476_9773661e|task_004313_ce1cd767|task_12432|task_001783_c60637e1|software-engineering_20260610_111702_024|task_002471_35f54046|software-engineering_20260418_044216_012|software-engineering_20260618_093107_012,TMax-15K|Terminal-Lego-15k|TMax-15K|TMax-15K|Terminal-Lego-15k|TMax-15K|CalibForge|TMax-15K|CalibForge|CalibForge,4.3
large-scale-text-editing,task_06307|task_06308|task_06291|task_06116|task_06134|task_06205|task_06187|software-engineering_20260510_062946_021|task_001805_7adfc444|task_02007,Terminal-Lego-15k|Terminal-Lego-15k|Terminal-Lego-15k|Terminal-Lego-15k|Terminal-Lego-15k|Terminal-Lego-15k|Terminal-Lego-15k|CalibForge|TMax-15K|Terminal-Lego-15k,4.2
largest-eigenval,mathematics_20260606_172554_003|scientific-computing_20260601_053159_001|scientific-computing_20260607_104421_001|mathematics_20260508_204815_003|mathematics_20260615_143956_003|task_004244_018a965b|mathematics_20260602_105139_003|task_001331_787cad37|mathematics_20260416_172928_003|task_008399_38ddeb46,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K|CalibForge|TMax-15K,4.3
llm-inference-batching-scheduler,machine-learning_20260604_002443_003|task_000726_e9bf29eb|optimization_20260413_173854_001|task_14903|machine-learning_20260610_111702_003|task_006249_c8ad4f48|task_13552|optimization_20260511_150433_001|optimization_20260417_145736_001|task_004292_eaf2abf5,CalibForge|TMax-15K|CalibForge|Terminal-Lego-15k|CalibForge|TMax-15K|Terminal-Lego-15k|CalibForge|CalibForge|TMax-15K,4.1
log-summary-date-ranges,task_11217|data-processing_20260415_002933_002|task_009669_9a52ca42|personal-assistant_20260502_090008_001|task_11201|rts_task_dbfe7fd6f98ef686d4971762|data-processing_20260508_161717_004|tw_314564|task_007570_17a2ea78|data-processing_20260503_182123_003,Terminal-Lego-15k|CalibForge|TMax-15K|CalibForge|Terminal-Lego-15k|Recursive-Task-Synthesis|CalibForge|TerminalWorld-Seeds-Clean|TMax-15K|CalibForge,4.2
mailman,system-administration_20260605_015435_008|system-administration_20260602_105139_004|system-administration_20260617_104707_007|system-administration_20260610_111012_007|system-administration_20260604_193356_004|system-administration_20260615_143301_004|system-administration_20260616_094815_004|task_004723_794b068a|task_10797|system-administration_20260617_210354_003,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|Terminal-Lego-15k|CalibForge,4.5
make-doom-for-mips,software-engineering_20260604_002443_013|software-engineering_20260615_143301_013|software-engineering_20260606_172554_013|task_00421|rts_task_24702e8563eef351a1c3cedd|software-engineering_20260604_003814_013|software-engineering_20260606_172606_013|task_002664_87b4e800|software-engineering_20260430_081156_013|conan-io__conan.86f29e13.func_pm_remove_assign__vt2zl5s6,CalibForge|CalibForge|CalibForge|Terminal-Lego-15k|Recursive-Task-Synthesis|CalibForge|CalibForge|TMax-15K|CalibForge|SWE-Smith-Seeds-Clean,4.3
make-mips-interpreter,software-engineering_20260509_065529_014|software-engineering_20260415_094424_014|software-engineering_20260510_062946_014|software-engineering_20260508_045800_014|software-engineering_20260508_153434_014|software-engineering_20260503_030115_014|software-engineering_20260510_005520_014|software-engineering_20260414_091921_014|task_000258_60a61045|task_000246_a1b7a5cc,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|TMax-15K,4.5
