tb21_id,source,rank,task_id,skill,domain,task_form,overall,reason,preview
adaptive-rejection-sampler,TMax-15K,1,task_003776_145fbb5b,5,4,4,5,"Rejection sampling from an explicit PDF, derive the analytical CDF yourself, then verify samples by KS distance across sample sizes.","You are a Machine Learning Engineer preparing synthetic training data for a physics-informed neural network. To ensure your custom data generator is properly calibrated, you need to validate its output against an analytical distribution usi"
adaptive-rejection-sampler,TMax-15K,2,task_009491_a219a910,5,4,4,5,Monte Carlo rejection sampling from an unnormalized density plus a convergence harness comparing generated samples to a reference distribution.,"You are a machine learning engineer preparing synthetic training data for a 3D generative model. You need to implement a fast data generator, evaluate its statistical correctness against a baseline, and run a convergence test. Your task con"
adaptive-rejection-sampler,TMax-15K,3,task_002076_68e6fa9e,4,5,3,4,"Actual R scripting: ks.test against pgamma, ECDF vs fitted analytical CDF. Only corpus item exercising R statistical idioms.",You are a data scientist validating a theoretical physical model for particle emission intervals using a multi-language pipeline. You have been provided with an experimental dataset of emission intervals. Your task spans environment managem
adaptive-rejection-sampler,TMax-15K,4,task_008944_ba409078,4,4,4,4,"Write a sampler from scratch and validate its stochastic output against the exact conjugate posterior mean/variance, the same validation problem.",You are a data scientist validating a custom MCMC sampling algorithm against an analytical solution. You need to write a Python script `/home/user/validate_mcmc.py` that samples from the posterior of a Beta-Binomial model using the Metropol
adaptive-rejection-sampler,TMax-15K,5,task_005564_c049fbb2,4,4,4,4,Sample an unnormalized density f(x) from scratch and check moments against numerically integrated ground truth; same correctness argument.,"I am preparing training data for a machine learning model that predicts physical system properties. As a first step, I need to generate baseline data for a custom 1D target probability density function, $f(x)$, and verify our sampling metho"
adaptive-rejection-sampler,TMax-15K,6,task_003703_9a8452dc,4,3,3,4,"Rejection sampling with a uniform proposal bounding box to hit a target normal density, graded by KS D-statistic; service plumbing is noise.","As a machine learning engineer, you need to prepare a highly specific synthetic training dataset of molecular graph properties for a Graph Neural Network. The data pipeline involves generating random graphs, filtering them via Monte Carlo r"
adaptive-rejection-sampler,TMax-15K,7,task_000371_d0ff3ecb,4,4,3,4,MCMC sampling of a known posterior with analytical validation of the samples; teaches how to prove a stochastic generator is correct.,"You are a machine learning engineer preparing baseline synthetic training data for a downstream Bayesian neural network. Your task is to generate samples from a known mathematical posterior to serve as a gold-standard dataset, combining MCM"
adaptive-rejection-sampler,TMax-15K,8,task_006674_3584f9ef,3,4,3,3,"Builds the convergence test for a Monte Carlo sampler against the exact exponential CDF, which is the grading half of the TB2.1 task.","You are an AI assistant helping a data scientist validate the convergence of a sampling algorithm. We have a Jupyter notebook located at `/home/user/sampler.ipynb` that acts as a Monte Carlo sampler. However, it hasn't been executed yet. Yo"
adaptive-rejection-sampler,TMax-15K,9,task_008483_11a1b849,3,4,3,3,"Rejection-sampling Monte Carlo estimate of the normalizing constant of an unnormalized PDF, cross-checked against trapezoidal integration.","As a machine learning engineer, I am preparing synthetic training data for a new probabilistic model. I have a custom unnormalized probability density function (PDF) written in C, but I need to compute its normalization constant (the integr"
adaptive-rejection-sampler,TMax-15K,10,task_009889_d25e0c72,3,4,3,3,Complete an incomplete Metropolis-Hastings sampler module against a physical model; sampler implementation in a modular codebase.,"You are acting as a data scientist fitting a dynamical model to experimental data. You have been given a workspace at `/home/user/model_fitting` with several files, but the pipeline is currently broken. Your goals are to fix the numerical i"
adaptive-rejection-sampler,Recursive-Task-Synthesis,1,rts_task_1f49104f5262526a93afa40d,3,2,3,3,"Implement sqrt from scratch, validate numerically to a tolerance against a reference, and correct the reference when it disagrees.","In /app, explore check_sqrt.sh, test_sqrt.sh, reference.txt, and bundle_spec.txt to understand the validation workflow and the evidence bundle requirements. Implement sqrt.cc to compute square roots for integers 0–9 and produce its output. "
adaptive-rejection-sampler,Recursive-Task-Synthesis,2,rts_task_0dc78c6e0c8e64bf995ac40e,3,1,3,3,"Implement to a discovered spec and add a --self-test mode that runs internal checks and reports pass/fail, mirroring the required test() function.",Create a script at /app/do_mes.py that imports `tables` from the mes module. The module's location is not given directly; it can be discovered by inspecting the directory at /opt/airflow/load_sources/mes. Implement all CLI flags documented 
adaptive-rejection-sampler,Recursive-Task-Synthesis,3,rts_task_9c42b7bc6a42bd5500faf896,3,1,3,3,Same family: implement full CLI from spec with self-test evidence and error-case handling for invalid invocations.,"Create /app/do_mes.py that imports the `tables` variable from `/opt/airflow/load_sources/mes/mes.py` and implements all CLI functionality described in the module's README. When `--output` is not used, respect the environment variable `MES_O"
adaptive-rejection-sampler,Recursive-Task-Synthesis,4,rts_task_1cb897929cb7296fc9abb28a,3,2,3,3,"Implement a mathematical protocol (Diffie-Hellman) from the signatures and docstrings already present, i.e. implement-from-spec of an algorithm.","Complete the implementation of a Diffie-Hellman-style key exchange protocol in `/app/encrypt.py`. The module should allow two parties to encrypt and decrypt messages without directly sharing their secret keys, and should be vulnerable to ma"
adaptive-rejection-sampler,Recursive-Task-Synthesis,5,rts_task_c70f8d4516bd133aba51b8c1,2,1,3,2,"Fix a numerical function's edge case and add the missing test for it, then produce a validation report; weak input-validation overlap only.","Fix the compute_gcd.py script in /app/project to compute GCD correctly. The workspace includes a document describing an edge case that is not covered by the existing tests; add that test case, then implement a proper gcd function (def gcd) "
adaptive-rejection-sampler,Recursive-Task-Synthesis,6,rts_task_82d333ea9e71082660e2fd2d,2,2,3,2,Implement a classical numeric algorithm (Euclid) faithfully from its mathematical definition; algorithm fidelity but trivial depth.,Write an ARM64 assembly source file at /app/mcd.s that implements the Euclidean algorithm to compute the greatest common divisor of two integers. The program must read the two integers from the environment variables defined in /app/.env.exa
adaptive-rejection-sampler,Recursive-Task-Synthesis,7,rts_task_064dfeb837ec12f52f879a4b,2,1,3,2,Author a test project from scratch and report example/failure counts; the testing-harness half of TB2.1 with no statistics.,"Create a ShellSpec test project at `/app/hello` that verifies a shell function which greets with “Hello <name>!”. Use the standard ShellSpec directory layout, and include a test that validates the function’s behavior. Run the full test suit"
adaptive-rejection-sampler,Recursive-Task-Synthesis,8,rts_task_07321217a4d6ea5f1f71030b,2,1,3,2,"Initialize a test suite validating a function's expected behaviour; same test-authoring genre, unrelated subject matter.","Initialize a ShellSpec test project in `/app/hello` that validates a shell function with the expected behavior. Place the library file at `lib/hello.sh` inside the project, implementing a function named `hello` that accepts a single argumen"
adaptive-rejection-sampler,Recursive-Task-Synthesis,9,rts_task_201e3691bb9f0d33fef6d90e,2,2,2,2,Simulate random lottery outcomes with numeric input handling; touches randomness and input validation but no distributional correctness.,"Implement a playable terminal gambling game at `/app/game.sh`. The game must accept numeric input, simulate a lottery-style experience, and show winning/losing outcomes. Winnings should range from 50 to 5,000,000. Add a `--status` flag. Whe"
adaptive-rejection-sampler,Recursive-Task-Synthesis,10,rts_task_449a1755ff4a90fe269beba0,1,1,2,1,"Compute GCDs and summary statistics over discovered input; only shares file-producing chore shape, no algorithmic or statistical demand.",Compute the greatest common divisor (GCD) for a set of integer pairs and write the results to `/app/results.txt`. The input pairs are stored in a file located somewhere under `/data`; find this file and examine its contents to understand th
adaptive-rejection-sampler,TerminalWorld-Seeds-Clean,1,tw_125169,3,3,3,3,Numerical-accuracy demonstration measured as mean absolute error against a known exact solution; same 'prove the numerics are right' work.,"Using Julia and the `SigmoidNumbers` package, demonstrate the numerical superiority of 32-bit Posit numbers (specifically `Posit{32,3}`) over 32-bit IEEE floating point for solving systems of linear equations, leveraging the quire data stru"
adaptive-rejection-sampler,TerminalWorld-Seeds-Clean,2,tw_226259,3,2,3,3,"Property-based testing over randomly generated floats: how to assert a property on stochastic output, which TB2.1's test() must do.","Run a QCheck property-based test interactively using `utop` in the `/app` directory. The test should verify the property that `floor f <= f` holds for random float values, using QCheck's `Test.make` with the `float` generator. Execute the t"
adaptive-rejection-sampler,TerminalWorld-Seeds-Clean,3,tw_561688,3,3,2,3,"Numerical optimization on a real problem in a scientific language ecosystem; adjacent numerical-methods capability, no sampling.","Solve a bundle adjustment optimization problem using the Julia package ecosystem. Working in `/app`, load the bundle adjustment problem named `""problem-16-22106""` using `BundleAdjustmentModels` and solve it with the `CaNNOLeS` solver using "
adaptive-rejection-sampler,TerminalWorld-Seeds-Clean,4,tw_372371,3,1,3,2,"Implement a combinatorial algorithm from spec with CLI flags and per-case output files; same implement-and-emit shape, no statistics.","Implement a solution to the N Queens puzzle in `/app/puzzle_queen.py` inside the running Docker container. The script must accept a `-n` argument specifying the board size, a `-f` flag to display each solution as a full N×N board, and a `-s"
adaptive-rejection-sampler,TerminalWorld-Seeds-Clean,5,tw_686647,2,3,2,2,"Run a statistical anomaly-detection estimator with specified parameters on a dataset; same broad area, no algorithm implementation.","Install `coniferest` version 0.0.15 with its `datasets` extra. Using the `ztf_m31` dataset, run anomaly detection with `coniferest.isoforest.IsolationForest` (random_seed=42), `sklearn.ensemble.IsolationForest` (random_state=42), and `conif"
adaptive-rejection-sampler,TerminalWorld-Seeds-Clean,6,tw_24569,2,2,2,2,Add seeding to an RNG-driven script so repeated runs reproduce; reproducibility of stochastic output is a sub-skill TB2.1 needs.,Modify the Python script `/app/random-demo.py` so that it accepts an optional `-s`/`--seed` argument (an integer) in addition to its existing positional argument for the number of random values to generate. When the seed argument is provide
adaptive-rejection-sampler,TerminalWorld-Seeds-Clean,7,tw_143039,2,1,3,2,Implement a modular two-module system to a specified class/method interface; matches the modularity-and-consistent-design requirement only.,Implement a simple iGaming platform in Python. The platform should be located in `/app` and consist of two main components: a data models module at `/app/app/models.py` and a game logic module at `/app/app/igamming_platform.py`. The `models
adaptive-rejection-sampler,TerminalWorld-Seeds-Clean,8,tw_5263,2,1,3,2,"Author a working test suite from scratch including fixtures and discovery; the testing-infrastructure half, nothing statistical.",Create a Python test suite under `/app` that uses pytest's `conftest.py` mechanism so that tests can be discovered and run successfully both from the `/app` directory and from the `/app/tests` subdirectory. The project should have a `confte
adaptive-rejection-sampler,TerminalWorld-Seeds-Clean,9,tw_247983,2,2,2,2,"Write scientific-language code that must print interpretable, checkable demonstrations of each numeric claim to a log.",Write a Julia script that demonstrates key performance concepts from Chapter 4 of *Julia High Performance* and save all output (including benchmark timings and compiler introspection) to `/app/julia_output.txt`. Use Julia with `BenchmarkToo
adaptive-rejection-sampler,TerminalWorld-Seeds-Clean,10,tw_713369,2,1,3,2,"Implement a mathematical predicate from spec and produce exact output; implement-from-spec genre, unrelated stack and no stochasticity.","Create an ARM64 Assembly program that checks whether a given number is prime. The program should be written in `/app/primo.s` and, when assembled and linked into an executable at `/app/primo`, produce the correct primality verification outp"
adaptive-rejection-sampler,SWE-Smith-Seeds-Clean,1,pydata__patsy.a5d16484.lm_rewrite__8x02bchk,3,3,2,3,"Patsy implements R's formula language; the bug is failure to reject an invalid model specification, i.e. statistical-API input validation.","### Issue: Unexpected Behavior in `dmatrix` Function #### Description When using the `dmatrix` function with certain inputs, the function does not behave as expected. Specifically, when providing a formula-like input that includes outcome v"
adaptive-rejection-sampler,SWE-Smith-Seeds-Clean,2,pydicom__pydicom.7d361b3d.pr_1931,3,3,2,3,Reasoning about whether a generator's output is actually uniformly random and fixing its entropy source; random-number quality reasoning.,"generate_uid is not uniformly or cryptographically random The function `pydicom.uid.generate_uid` is meant to generate an unpredictable UID. Given the use of SHA-512, it appears that the intention is to generate a *cryptographically* random"
adaptive-rejection-sampler,SWE-Smith-Seeds-Clean,3,rubik__radon.54b88e58.lm_rewrite__uaocn61p,3,1,2,2,Restore a ValueError on negative input instead of silently returning garbage; exactly the 'reject negative sample counts' validation duty.,"# Negative complexity values not properly handled in cc_rank function Hi everyone, I discovered a bug in the `cc_rank` function when trying to use it with negative complexity values. The function is supposed to raise a `ValueError` when giv"
adaptive-rejection-sampler,SWE-Smith-Seeds-Clean,4,life4__textdistance.c3aca916.lm_rewrite__9v6u6jmp,3,2,2,2,Algorithm returns wrong values and fails a mathematical symmetry test; debugging a numeric algorithm against a provable property.,# NCD algorithm in compression_based.py produces incorrect results and fails symmetry test ### Bug description The Normalized Compression Distance (NCD) implementation in the compression_based.py module is producing incorrect results and fa
adaptive-rejection-sampler,SWE-Smith-Seeds-Clean,5,facebookresearch__fvcore.a491d5b9.lm_rewrite__lo7njclv,3,3,2,2,Running mean/variance statistics fail to update correctly; estimating distribution parameters from streamed samples and checking them.,"# Batch Normalization statistics not updating correctly with duplicate decorator When using the `update_bn_stats` function to compute precise batch normalization statistics, the function fails to correctly update the running mean and varian"
adaptive-rejection-sampler,SWE-Smith-Seeds-Clean,6,dask__dask.5f61e423.pr_6749,2,3,2,2,Missing 2D residual case in least-squares; numerical linear algebra correctness against a reference implementation's semantics.,"Missing 2D case for residuals in dask.array.linalg.lstsq In numpy's version of the least squares computation, passing ordinate values (`b`) in a two-dimensional array `(M, K)` results in a 2D array `(N, K)` for the coefficients and a 1D arr"
adaptive-rejection-sampler,SWE-Smith-Seeds-Clean,7,life4__textdistance.c3aca916.lm_rewrite__1bwnbljz,2,2,2,2,Similarity algorithm produces incorrect values for custom parameter matrices; tracing a numeric algorithm back to its definition.,"# Matrix similarity algorithm returns incorrect values for custom matrices ## Description When using the Matrix similarity algorithm with a custom matrix, it returns incorrect values for single character comparisons. The issue appears when "
adaptive-rejection-sampler,SWE-Smith-Seeds-Clean,8,luozhouyang__python-string-similarity.115acaac.func_pm_class_rm_funcs__81k3t0m0,2,2,2,2,Restore removed methods of a distance algorithm class so the modular API works again; modular-algorithm-implementation overlap only.,"Jaccard similarity method missing implementation #### Description The Jaccard class is missing the `similarity` method implementation, causing a `NotImplementedError` when trying to calculate similarity between strings. #### Steps/Code to R"
adaptive-rejection-sampler,SWE-Smith-Seeds-Clean,9,facebookresearch__fvcore.a491d5b9.combine_module__zkwkfq69,2,2,2,2,Incorrect piecewise loss math and counting; fixing a small numerical formula against its published definition.,# Incorrect behavior in smooth_l1_loss function and activation counting I've noticed some issues with the smooth_l1_loss function and activation counting in the latest version of the code. ## Issue 1: smooth_l1_loss function produces incorr
adaptive-rejection-sampler,SWE-Smith-Seeds-Clean,10,jawah__charset_normalizer.1fdd6463.func_basic__7t2bal22,2,2,2,2,"Statistical classifier gives wrong detections; debugging a probabilistic scoring routine, but no sampling or test authoring.","Language detection returns wrong results for various encodings #### Description The language detection is returning incorrect results for different text samples. When analyzing files with known languages, the detected language doesn't match"
